Name: CCTV1综合, URL: http://122.234.254.49:4000/rtp/233.50.200.220:5140$720x576, Date: None, Resolution: 720x576, Response Time: 230.49583333333334fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.88:5140$720x576, Date: None, Resolution: 720x576, Response Time: 229.33749999999998fps
Name: CCTV1综合, URL: http://183.158.169.240:9999/rtp/233.50.201.128:5140$720x576, Date: None, Resolution: 720x576, Response Time: 228.9653846153846fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.201.88:5140$720x576, Date: None, Resolution: 720x576, Response Time: 227.95999999999998fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.201.135:5140$720x576, Date: None, Resolution: 720x576, Response Time: 227.95307692307694fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.201.1:5140$720x576, Date: None, Resolution: 720x576, Response Time: 227.89000000000001fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.201.96:5140$720x576, Date: None, Resolution: 720x576, Response Time: 227.63923076923078fps
Name: CCTV1综合, URL: http://122.234.254.49:4000/rtp/233.50.200.218:5140$720x576, Date: None, Resolution: 720x576, Response Time: 227.53fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.127:5140$720x576, Date: None, Resolution: 720x576, Response Time: 227.42384615384614fps
Name: CCTV1综合, URL: http://115.201.88.156:9999/rtp/233.50.201.165:5140$720x576, Date: None, Resolution: 720x576, Response Time: 226.81230769230768fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.217:5140$720x576, Date: None, Resolution: 720x576, Response Time: 226.56307692307695fps
Name: CCTV1综合, URL: http://ycsj.aguihome.com:4022/rtp/233.50.201.166:5140$720x576, Date: None, Resolution: 720x576, Response Time: 226.46923076923076fps
